timestamp,user_id,session_id,event_type,client_info_ip,client_info_user_agent,client_info_device,client_info_browser,client_info_os,client_info_viewport,client_info_language,page,referrer,report_type,date_range,export_format,generation_time_ms,performance_page_load_time_ms,performance_first_input_delay_ms,performance_first_contentful_paint_ms,interaction_depth_scroll_percentage,interaction_depth_time_on_page_seconds,interaction_depth_clicks,login_method,success,referral_id,referral_type,organization,search_query,search_results_count,search_filters_distance,search_filters_service_types
2025-03-27T20:51:09.407484,user_a9ce3a74,sess-a7238616,generate_report,150.86.218.117,Mozilla/5.0 (compatible; MSIE 6.0; Windows 98; Trident/4.0),mobile,safari,macos,1366x768,en-US,/help,https://autorka.io,referrals,last_month,pdf,9379.0,2290,111,732,14,1026,14,,,,,,,,,
2025-03-27T20:51:15.334285,user_a9e3c1fd,sess-c805e118,create_profile,99.238.219.247,Mozilla/5.0 (Windows NT 11.0; ka-GE; rv:1.9.0.20) Gecko/3724-01-12 09:45:42.744553 Firefox/6.0,tablet,edge,android,375x812,en-US,/referrals,https://communityresources.org,,,,,2586,125,79,60,385,20,,,,,,,,,
2025-03-27T20:51:33.266799,user_92aaf633,sess-b8209824,login,54.81.135.242,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; apn-IN) AppleWebKit/533.33.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B119 Safari/6533.33.3",tablet,edge,linux,1366x768,en-GB,/settings,,,,,,597,361,1898,52,584,11,sso,True,,,,,,,
2025-03-27T20:53:34.527813,user_705c149d,sess-4c3a8c89,send_message,3.26.114.42,Opera/8.60.(Windows NT 6.2; or-IN) Presto/2.9.181 Version/11.00,mobile,firefox,linux,1440x900,en-GB,/settings,https://google.com,,,,,4384,487,172,66,234,20,,,,,,,,,
2025-03-27T20:53:50.518952,user_b8811e4f,sess-619ae624,login,62.5.181.179,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; da-DK) AppleWebKit/534.26.1 (KHTML, like Gecko) Version/4.0.5 Mobile/8B118 Safari/6534.26.1",tablet,safari,android,375x812,en-US,/referrals,https://communityresources.org,,,,,1659,213,361,56,20,12,2fa,True,,,,,,,
2025-03-27T20:54:32.027911,user_8b31043c,sess-6b9b0a21,export_data,76.85.80.201,"Mozilla/5.0 (Windows 98; Win 9x 4.90) AppleWebKit/531.0 (KHTML, like Gecko) Chrome/24.0.894.0 Safari/531.0",mobile,edge,android,1440x900,en-GB,/settings,https://healthcare.gov,,,,,480,17,624,11,741,20,,,,,,,,,
2025-03-27T20:54:53.207344,user_873be8e2,sess-ad9c41ff,create_profile,197.53.183.8,Opera/9.42.(Windows 98; Win 9x 4.90; the-NP) Presto/2.9.169 Version/11.00,desktop,chrome,android,375x812,es-ES,/dashboard,https://google.com,,,,,770,423,1201,39,420,8,,,,,,,,,
2025-03-27T20:55:08.768199,user_33fa2071,sess-466775f7,accept_referral,72.238.53.151,"Mozilla/5.0 (Windows; U; Windows 95) AppleWebKit/532.31.3 (KHTML, like Gecko) Version/4.1 Safari/532.31.3",tablet,safari,macos,1440x900,en-GB,/referrals,https://google.com,,,,,2168,474,777,44,1179,11,,,ref-1da5b7a8,employment,Family Crisis Center,,,,
2025-03-27T20:56:20.269365,user_1f22c235,sess-abb80a1b,decline_referral,13.99.253.133,"Mozilla/5.0 (iPod; U; CPU iPhone OS 3_2 like Mac OS X; apn-IN) AppleWebKit/533.33.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B119 Safari/6533.33.3",desktop,safari,linux,1440x900,en-US,/referrals,https://communityresources.org,,,,,1214,266,50,48,918,9,,,ref-76cacf54,medical,County Health Services,,,,
2025-03-27T20:56:34.379237,user_b0b978e2,sess-5f14af57,decline_referral,121.153.45.125,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; ce-RU) AppleWebKit/534.50.3 (KHTML, like Gecko) Version/4.0.5 Mobile/8B115 Safari/6534.50.3",mobile,edge,android,1920x1080,en-GB,/settings,https://autorka.io,,,,,2074,446,1882,34,91,4,,,ref-d9b06dee,legal,Metro Food Bank,,,,
